sample,point,target_x,target_y,target_z,rtt_ms,success,err_norm,joints_j1,joints_j2,joints_j3,joints_j4,joints_j5,joints_j6
261,B,475.0,0.0,635.0,1.5810000004421454,,,0.0,0.0,0.0,0.0,0.0,0.0
262,A,475.0,0.0,635.0,1.2879999994765967,,,0.0,0.0,0.0,0.0,0.0,0.0
263,B,475.0,0.0,635.0,1.288600000407314,,,0.0,0.0,0.0,0.0,0.0,0.0
264,A,475.0,0.0,635.0,1.3823999997839564,,,0.0,0.0,0.0,0.0,0.0,0.0
265,B,475.0,0.0,635.0,1.5164999995249673,,,0.0,0.0,0.0,0.0,0.0,0.0
266,A,475.0,0.0,635.0,1.2880000003860914,,,0.0,0.0,0.0,0.0,0.0,0.0
267,B,475.0,0.0,635.0,1.2325999996392056,,,0.0,0.0,0.0,0.0,0.0,0.0
268,A,475.0,0.0,635.0,1.6579000002820976,,,0.0,0.0,0.0,0.0,0.0,0.0
269,B,475.0,0.0,635.0,1.4396000005945098,,,0.0,0.0,0.0,0.0,0.0,0.0
270,A,475.0,0.0,635.0,1.2129999995522667,,,0.0,0.0,0.0,0.0,0.0,0.0
